id,name,category,indoor,neighborhood,transit,price_level,duration_hours,best_for,highlights,tips,text
TOR_014,Allan Gardens,park,true,Downtown,streetcar,low,1,family;solo,"Victorian greenhouses, seasonal blooms","Check greenhouse schedules","Allan Gardens is an indoor garden conservatory in Downtown Toronto, featuring plants from around the world."
TOR_015,Bata Shoe Museum,museum,true,North York,bus,low,1,family;solo,"Shoe history, quirky exhibits","Fun for fashion lovers","Bata Shoe Museum showcases global footwear history and is a unique indoor museum destination."
TOR_016,Hockey Hall of Fame,attraction,true,Downtown,subway,medium,1,date;friends,"Hockey artifacts, Stanley Cup","Combine with nearby attractions","Hockey Hall of Fame has interactive exhibits and showcases the historic Stanley Cup."
TOR_017,Toronto Waterfront,park,false,Harbourfront,streetcar,low,2,date;friends,"Lake Ontario views, stroll paths","Best at sunset","Toronto Waterfront offers scenic outdoor walking paths, lake views and sunset spots."
TOR_018,Dundas Square,landmark,false,Downtown,subway,low,1,friends;date,"City lights, events","Check event calendar","Dundas Square is an outdoor urban plaza with frequent public events and bright city lights in Downtown Toronto."
TOR_019,Gooderham Building,landmark,false,Downtown,streetcar,low,0.5,solo;friends,"Historic architecture, photos","Great quick stop","Gooderham Building is a historic flatiron-style building in Downtown perfect for a short photo stop."
TOR_020,Toronto Sign,landmark,false,Downtown,streetcar,low,1,family;friends,"Iconic city sign, photos","Best for sunrise/sunset","The Toronto Sign at Nathan Phillips Square makes a classic city photo spot and public gathering place."
TOR_021,Ontario Science Centre,attraction,true,North York,bus,medium,3,family;solo,"Interactive exhibits, planetarium","Allow extra time for exhibits","Ontario Science Centre has hands-on science displays and a planetarium for educational fun."
TOR_022,Sugar Beach,park,false,East Bayfront,streetcar,low,1,date;family,"Beach park, pink umbrellas","Great in warm weather","Sugar Beach is a small sandy urban beach park with iconic umbrellas and Lake Ontario views."
TOR_023,Little Canada,attraction,true,Downtown,subway,medium,1,friends;date,"Miniature Canada, exhibits","Fun interactive displays","Little Canada is an indoor interactive miniature exhibit of Canadian landmarks."
TOR_024,PATH Underground,landmark,true,Downtown,subway,medium,2,shopping;solo,"Underground city, shops","Explore during winter","PATH Underground is Toronto’s extensive indoor underground shopping network."
TOR_025,Ferry to Centreville,attraction,false,Harbourfront,ferry,low,3,family,"Family amusement park, rides","Go early before queues","Take a ferry to Centreville Amusement Park on the islands for rides and family fun."
TOR_026,Niagara Falls,day_trip,false,Outside,ferry/bus,medium,8,date;family,"Massive waterfalls, scenic views","Best day trip from Toronto","Niagara Falls is a world-famous waterfall destination often taken as a day trip from Toronto."
TOR_027,Fort York Historic Site,landmark,false,Downtown,streetcar,low,1.5,family;solo,"Historic fort, exhibits","Bring water and wear shoes","Fort York Historic Site offers outdoor historical fortification and interpretive exhibits."
TOR_028,Queen’s Park,park,false,Downtown,subway,low,1,solo;date,"Government buildings, greenery","Nice walking paths","Queen’s Park is an outdoor green space around Ontario legislative buildings, great for a short stroll."
TOR_029,Little Italy,neighborhood,false,West End,streetcar,low,2,date;friends,"Italian restaurants, cafes","Best for food crawl","Little Italy is a vibrant outdoor neighborhood known for Italian eateries and cafes."
TOR_030,PATH Coffee Crawl,tour,TRUE,Downtown,subway,medium,2,foodies;friends,"Specialty coffee shops, local roasters","Plan coffee stops ahead","PATH Coffee Crawl is an indoor walking tour of key specialty coffee spots throughout Toronto’s underground network."
TOR_031,Stackt Market,shopping,false,Downtown,streetcar,low,2,friends;date,"Shipping container shops, food stalls","Great for weekend visits","Stackt Market is an outdoor shopping and food market made of shipping containers in Downtown Toronto. It is low cost and perfect for friends or casual dates."
TOR_032,Evergreen Brick Works,park,false,Midtown,bus,low,3,family;solo,"Farmers market, hiking trails","Visit on weekends for market","Evergreen Brick Works is an outdoor eco park with trails and weekend markets."
TOR_033,Scarborough Bluffs,park,false,Scarborough,bus,low,2,date;solo,"Cliff views, beaches","Bring water and sunscreen","Scarborough Bluffs offer stunning cliffside lake views and beaches."
TOR_034,Tommy Thompson Park,park,false,East End,bike,low,3,solo;friends,"Bird watching, trails","Best for cycling","Tommy Thompson Park is a nature reserve ideal for biking and bird watching."
TOR_035,Black Creek Pioneer Village,museum,false,North York,bus,medium,3,family,"Historic village, reenactments","Check seasonal hours","Black Creek Pioneer Village is a living history outdoor museum."
TOR_036,The Well,shopping,true,Downtown,streetcar,medium,2,friends,"Modern shopping complex","Visit evening for lights","The Well is a new mixed-use indoor shopping and dining destination."
TOR_037,Union Station Food Court,food,true,Downtown,subway,low,1,foodies,"Global food stalls","Great quick lunch stop","Union Station food court offers diverse quick eats."
TOR_038,Le Germain Rooftop Bar,nightlife,true,Downtown,subway,high,2,date,"Skyline views, cocktails","Reserve seats ahead","Le Germain rooftop bar offers indoor lounge and skyline views."
TOR_039,Second City Toronto,entertainment,true,Downtown,streetcar,medium,2,date;friends,"Comedy shows, improv","Book tickets early","Second City Toronto offers live improv comedy shows."
TOR_040,The Rec Room,entertainment,true,Downtown,subway,medium,3,friends,"Arcade games, dining","Best evening activity","The Rec Room is an indoor entertainment complex with games and food."
TOR_041,Steam Whistle Brewery,tour,true,Downtown,subway,medium,1,friends,"Brewery tours, tastings","Book guided tours","Steam Whistle Brewery offers indoor beer tours near CN Tower."
TOR_042,Distillery Winter Village,festival,false,Old Toronto,streetcar,medium,2,date,"Christmas market, lights","Visit at night","Distillery Winter Village hosts a seasonal Christmas market."
TOR_043,Harbourfront Centre,entertainment,false,Harbourfront,streetcar,low,2,friends,"Festivals, lakefront","Check event schedule","Harbourfront Centre hosts seasonal festivals and concerts."
TOR_044,Polson Pier,landmark,false,Downtown,bus,low,1,date,"Skyline photo spot","Best at night","Polson Pier is a famous Toronto skyline viewpoint."
TOR_045,Chinatown Toronto,food,false,Downtown,streetcar,low,2,foodies,"Asian restaurants, markets","Best for food crawl","Chinatown offers diverse authentic Asian cuisine."
TOR_046,Greektown,food,false,East End,subway,medium,2,date;friends,"Greek restaurants","Visit for dinner","Greektown is a vibrant dining neighborhood."
TOR_047,Little Portugal,food,false,West End,streetcar,low,2,friends,"Cafes, bakeries","Explore cafes","Little Portugal offers cozy cafes and bakeries."
TOR_048,The Beaches,park,false,East End,streetcar,low,2,date;family,"Boardwalk, sandy beach","Great in summer","The Beaches area offers long boardwalks and beaches."
TOR_049,Winter Village at Evergreen,festival,false,Midtown,bus,low,2,family,"Winter skating, market","Dress warm","Evergreen hosts a winter village festival."
TOR_050,Nathan Phillips Ice Rink,activity,false,Downtown,subway,low,2,date;family,"Outdoor skating","Bring skates or rent","Ice skating at Nathan Phillips Square is a winter favorite."
TOR_051,Escape Manor,entertainment,true,Downtown,subway,medium,1,friends,"Escape rooms","Book in advance","Escape Manor offers indoor escape room challenges."
TOR_052,VRPlayin Toronto,entertainment,true,Downtown,subway,medium,1,friends,"Virtual reality games","Reserve sessions","VRPlayin offers immersive VR experiences."
TOR_053,The Drake Hotel,nightlife,true,West End,streetcar,medium,2,date,"Live music, rooftop","Check live music nights","The Drake Hotel hosts music and nightlife events."
TOR_054,Horseshoe Tavern,nightlife,true,Downtown,streetcar,low,2,friends,"Live concerts","Arrive early","Horseshoe Tavern is a famous live music venue."
TOR_055,Royal Conservatory of Music,entertainment,true,Downtown,subway,medium,2,date,"Concert hall","Check concert schedule","Royal Conservatory hosts classical concerts."
TOR_056,Spadina House,museum,true,Midtown,bus,low,1,solo,"Historic house museum","Combine with Casa Loma","Spadina House is a historic mansion museum."
TOR_057,Trillium Park,park,false,West End,streetcar,low,1,solo;date,"Lake views","Great sunset spot","Trillium Park offers scenic waterfront views."
TOR_058,Sunnyside Pavilion,park,false,West End,streetcar,low,2,date,"Beach, cycling","Best in summer","Sunnyside Pavilion is a waterfront recreation area."
TOR_059,Toronto Botanical Garden,park,false,North York,bus,low,1,solo,"Gardens, nature walks","Visit spring or summer","Toronto Botanical Garden offers peaceful garden walks."
TOR_060,Ontario Place,park,false,West End,streetcar,low,3,family,"Waterfront park","Check events","Ontario Place hosts outdoor events and festivals."
TOR_061,Roundhouse Park,park,false,Downtown,streetcar,low,1,family,"Trains, green space","Good for kids","Roundhouse Park is a small outdoor park near CN Tower featuring historic trains and open lawns."
TOR_062,Canada’s Wonderland,amusement_park,false,North,bus,high,6,family;friends,"Roller coasters, rides","Arrive early","Canada’s Wonderland is a large amusement park north of Toronto perfect for thrill seekers."
TOR_063,Vaughan Mills Mall,shopping,true,North,bus,medium,3,friends,"Outlet shopping","Visit weekdays","Vaughan Mills is a large indoor outlet mall."
TOR_064,Woodbine Beach,park,false,East End,streetcar,low,2,date;family,"Beach volleyball, boardwalk","Great in summer","Woodbine Beach is a popular summer beach destination."
TOR_065,Cherry Beach,park,false,Port Lands,bus,low,2,friends,"Relaxed beach vibe","Bring snacks","Cherry Beach is a quiet beach perfect for relaxing."
TOR_066,Rouge National Urban Park,park,false,East,bus,low,4,solo;family,"Hiking, wildlife","Wear hiking shoes","Rouge Park is a large natural park ideal for hiking."
TOR_067,Evergreen Brick Works Farmers Market,food,false,Midtown,bus,low,2,foodies,"Local vendors","Open weekends","Farmers market at Evergreen Brick Works offers local food and produce."
TOR_068,Stakt Night Market,food,false,Downtown,streetcar,low,2,friends,"Street food","Visit evenings","Stackt hosts seasonal night markets."
TOR_069,Elgin Theatre,entertainment,true,Downtown,subway,medium,2,date,"Historic theatre","Book tickets","Elgin Theatre hosts musicals and shows."
TOR_070,Massey Hall,entertainment,true,Downtown,subway,medium,2,friends,"Concert venue","Check concerts","Massey Hall is a famous live music venue."
TOR_071,Toronto Symphony Orchestra,entertainment,true,Downtown,subway,high,2,date,"Classical concerts","Dress smart casual","TSO performs at Roy Thomson Hall."
TOR_072,Roy Thomson Hall,landmark,true,Downtown,subway,medium,1,solo,"Concert hall architecture","Visit for concerts","Roy Thomson Hall is a modern concert venue."
TOR_073,TIFF Bell Lightbox,entertainment,true,Downtown,subway,medium,2,solo;date,"Film screenings","Check film schedule","TIFF Bell Lightbox screens films year round."
TOR_074,Hot Docs Cinema,entertainment,true,Downtown,streetcar,low,2,solo,"Documentary films","Visit evenings","Hot Docs Cinema screens documentaries."
TOR_075,Sherway Gardens,shopping,true,Etobicoke,bus,medium,2,shopping,"Upscale mall","Visit weekday mornings","Sherway Gardens is an upscale shopping mall."
TOR_076,Yorkdale Mall,shopping,true,North York,subway,high,3,shopping,"Luxury brands","Avoid weekends","Yorkdale Mall features luxury shopping."
TOR_077,Pacific Mall,shopping,true,Markham,bus,low,2,friends,"Asian mall","Bring cash","Pacific Mall is a large Asian shopping center."
TOR_078,CF Shops at Don Mills,shopping,false,North York,bus,medium,2,date,"Outdoor shopping","Visit evening","CF Shops at Don Mills is an outdoor lifestyle mall."
TOR_079,Kaboom Chicken,food,true,Downtown,streetcar,low,1,foodies,"Korean fried chicken","Try spicy flavor","Kaboom Chicken serves popular Korean fried chicken."
TOR_080,Ramen Isshin,food,true,Downtown,subway,low,1,foodies,"Japanese ramen","Expect queues","Ramen Isshin is a popular ramen restaurant."
TOR_081,Seven Lives Tacos,food,true,Kensington,streetcar,low,1,foodies,"Fish tacos","Go early","Seven Lives serves famous tacos."
TOR_082,PAI Northern Thai Kitchen,food,true,Downtown,streetcar,medium,1.5,date,"Thai cuisine","Reserve seats","PAI offers authentic Thai dishes."
TOR_083,Banh Mi Boys,food,true,Downtown,streetcar,low,1,foodies,"Vietnamese sandwiches","Quick lunch","Banh Mi Boys offers quick bites."
TOR_084,Ed’s Real Scoop,food,true,West End,streetcar,low,1,friends,"Ice cream","Try seasonal flavors","Ed’s Real Scoop is known for ice cream."
TOR_085,SOMA Chocolatemaker,food,true,Distillery,streetcar,low,1,date,"Artisan chocolate","Try hot chocolate","SOMA is famous for artisan chocolate."
TOR_086,The Broadview Hotel Rooftop,nightlife,true,East End,streetcar,medium,2,date,"City views","Reserve seats","Broadview rooftop offers skyline views."
TOR_087,BarChef,nightlife,true,Downtown,streetcar,high,2,date,"Creative cocktails","Dress smart","BarChef is a premium cocktail bar."
TOR_088,The Pilot,nightlife,true,Yorkville,subway,medium,2,friends,"Rooftop patio","Great summer spot","The Pilot has a popular rooftop patio."
TOR_089,Amsterdam Brewhouse,nightlife,true,Harbourfront,streetcar,medium,2,friends,"Lakefront brewery","Try beer flights","Amsterdam Brewhouse offers lake views and craft beer."
TOR_090,The Porch,nightlife,true,Downtown,streetcar,medium,2,date,"Rooftop bar","Best sunset views","The Porch offers rooftop drinks with skyline views."
TOR_091,Rebel Nightclub,nightlife,true,Port Lands,bus,high,3,friends,"Large dance club, DJs","Arrive before midnight","Rebel is one of Toronto’s largest nightlife venues with DJs and dance floors."
TOR_092,History Toronto,entertainment,true,East End,bus,medium,2,friends,"Live concerts","Check show calendar","History is a modern concert venue hosting major artists."
TOR_093,Scotiabank Arena,entertainment,true,Downtown,subway,high,3,family;friends,"Sports games, concerts","Arrive early for security","Scotiabank Arena hosts major sports and concert events."
TOR_094,Rogers Centre,entertainment,true,Downtown,subway,high,3,family;friends,"Baseball games, stadium tours","Check Blue Jays schedule","Rogers Centre is a major stadium with a retractable roof."
TOR_095,BMO Field,entertainment,false,West End,streetcar,medium,3,friends,"Soccer matches","Wear team colors","BMO Field hosts Toronto FC matches."
TOR_096,Toronto Raptors Game,entertainment,true,Downtown,subway,high,3,friends,"NBA games","Buy tickets early","Watch the Toronto Raptors play live basketball."
TOR_097,Toronto Blue Jays Game,entertainment,true,Downtown,subway,medium,3,family,"Baseball games","Try stadium snacks","Watch the Blue Jays play baseball."
TOR_098,Toronto FC Game,entertainment,false,West End,streetcar,medium,3,friends,"Soccer atmosphere","Arrive early","Experience a Toronto FC soccer match."
TOR_099,Medieval Times Dinner,entertainment,true,Exhibition,bus,high,2,family,"Dinner show, knights","Arrive early","Medieval Times offers dinner and live medieval shows."
TOR_100,Illusionarium Toronto,entertainment,true,Downtown,subway,medium,1,family,"Magic shows","Great rainy day activity","Illusionarium hosts live magic performances."
TOR_101,The ROM After Dark,event,true,Downtown,subway,high,3,date,"Museum nightlife event","Check event dates","ROM After Dark offers themed evening museum parties."
TOR_102,Toronto Light Festival,festival,false,Distillery,streetcar,low,2,date,"Winter light art","Visit after sunset","Toronto Light Festival features outdoor light installations."
TOR_103,Toronto Jazz Festival,festival,false,Downtown,streetcar,medium,3,friends,"Live jazz music","Check summer schedule","Toronto Jazz Festival hosts concerts across the city."
TOR_104,Caribana Festival,festival,false,Citywide,bus,medium,4,friends,"Caribbean parade","Book early","Caribana is a large summer Caribbean festival."
TOR_105,Toronto Pride Parade,festival,false,Downtown,subway,low,3,friends,"Pride celebrations","Expect crowds","Toronto Pride Parade is one of the largest in the world."
TOR_106,Toronto International Film Festival,festival,true,Downtown,subway,high,3,solo;date,"Film premieres","Book early","TIFF brings global film premieres each September."
TOR_107,Winterlicious,festival,true,Citywide,subway,medium,2,date,"Restaurant festival","Reserve early","Winterlicious offers prix fixe dining across Toronto."
TOR_108,Summerlicious,festival,true,Citywide,subway,medium,2,date,"Restaurant festival","Book restaurants early","Summerlicious showcases Toronto restaurants."
TOR_109,Toronto Christmas Market,festival,false,Distillery,streetcar,medium,2,date,"Holiday market","Visit evenings","Toronto Christmas Market offers festive shopping and lights."
TOR_110,Cabbagetown Festival,festival,false,Downtown,streetcar,low,2,friends,"Street festival","Check fall dates","Cabbagetown Festival celebrates local culture."
TOR_111,Queen Street West,shopping,false,Downtown,streetcar,low,2,friends,"Boutiques, street art","Explore side streets","Queen Street West is a trendy shopping area."
TOR_112,Yorkville Village,shopping,false,Downtown,subway,high,2,date,"Luxury shopping","Window shop","Yorkville Village features luxury boutiques."
TOR_113,The Well Food Hall,food,true,Downtown,streetcar,medium,1.5,foodies,"Food hall","Visit lunch time","The Well food hall hosts diverse vendors."
TOR_114,Eataly Toronto,food,true,Downtown,subway,medium,2,date,"Italian food market","Try pasta","Eataly offers Italian dining and shopping."
TOR_115,Storm Crow Manor,food,true,Downtown,streetcar,medium,2,friends,"Geek themed dining","Make reservations","Storm Crow Manor offers themed dining experiences."
TOR_116,The Burger’s Priest,food,true,Citywide,subway,low,1,friends,"Classic burgers","Try secret menu","The Burger’s Priest serves classic burgers."
TOR_117,Tim Hortons Flagship,food,true,Downtown,subway,low,1,solo,"Canadian coffee","Try Timbits","Visit the flagship Tim Hortons location."
TOR_118,Trinity Bellwoods Park,park,false,West End,streetcar,low,2,friends,"Picnics, dog park","Busy weekends","Trinity Bellwoods is a popular picnic park."
TOR_119,Bellwoods Brewery,food,true,West End,streetcar,medium,2,friends,"Craft beer","Try tasting flights","Bellwoods Brewery serves craft beer."
TOR_120,Evergreen Skate Trail,activity,false,Midtown,bus,low,2,date,"Winter skating trail","Dress warm","Evergreen Brick Works hosts a winter skating trail."
TOR_121,Riverdale Farm,park,false,East End,streetcar,low,1.5,family,"Farm animals, city views","Great for kids","Riverdale Farm is a free urban farm with animals and walking paths."
TOR_122,Riverdale Park East,park,false,East End,streetcar,low,1.5,date,"Skyline view hill","Best at sunset","Riverdale Park East offers one of the best skyline views."
TOR_123,Corktown Common,park,false,Downtown,streetcar,low,1.5,family,"Playground, green space","Bring picnic","Corktown Common is a modern urban park."
TOR_124,Sherbourne Common,park,false,Downtown,streetcar,low,1,date,"Waterfront park","Nice night lights","Sherbourne Common is a waterfront park with light features."
TOR_125,Grange Park,park,false,Downtown,streetcar,low,1,family,"Playground, lawns","Combine with AGO","Grange Park is a small park next to the AGO."
TOR_126,Philosopher’s Walk,park,false,Downtown,subway,low,1,solo,"Quiet trail","Great fall colors","Philosopher’s Walk is a peaceful walking path near UofT."
TOR_127,Edwards Gardens,park,false,North York,bus,low,1.5,date,"Flower gardens","Visit spring","Edwards Gardens features beautiful landscaped gardens."
TOR_128,Wilket Creek Park,park,false,North York,bus,low,2,solo,"Hiking trails","Wear hiking shoes","Wilket Creek Park offers forest hiking trails."
TOR_129,Sunnybrook Park,park,false,North York,bus,low,2,family,"Large green space","Great picnic spot","Sunnybrook Park is a large park with trails."
TOR_130,Humber Bay Park,park,false,Etobicoke,bus,low,2,date,"Lake views","Great sunrise","Humber Bay Park offers scenic lakefront trails."
TOR_131,Hanlan’s Point Beach,park,false,Toronto Islands,ferry,low,3,friends,"Island beach","Bring sunscreen","Hanlan’s Point Beach is a popular island beach."
TOR_132,Centre Island Beach,park,false,Toronto Islands,ferry,low,3,family,"Family beach","Bring snacks","Centre Island Beach is ideal for families."
TOR_133,Ward’s Island Cafe,food,true,Toronto Islands,ferry,medium,1,date,"Cozy cafe","Great brunch","Ward’s Island Cafe offers relaxed brunch."
TOR_134,Island Bike Rentals,activity,false,Toronto Islands,ferry,medium,2,family,"Bike rentals","Book early","Rent bikes to explore Toronto Islands."
TOR_135,Bluffer’s Park Marina,park,false,Scarborough,bus,low,2,date,"Cliff views","Bring camera","Bluffer’s Park offers scenic marina views."
TOR_136,Scarborough Beach Park,park,false,Scarborough,bus,low,2,family,"Picnic areas","Summer visit","Scarborough Beach Park is family friendly."
TOR_137,Toronto Public Library Reference,landmark,true,Downtown,subway,low,1,solo,"Architecture, reading","Quiet workspace","Toronto Reference Library is an iconic library."
TOR_138,Gladstone Hotel,entertainment,true,West End,streetcar,medium,2,date,"Art hotel","Check events","Gladstone Hotel hosts art events."
TOR_139,Glad Day Bookshop,shopping,true,Downtown,streetcar,low,1,solo,"Bookstore cafe","Browse books","Glad Day is a famous bookstore cafe."
TOR_140,Bloor Street Culture Corridor,landmark,false,Downtown,subway,low,2,solo,"Museums, galleries","Walk the corridor","Bloor Street corridor hosts cultural attractions."
TOR_141,Hot Black Coffee,food,true,Downtown,streetcar,low,1,solo,"Specialty coffee","Try latte","Hot Black Coffee is a cozy cafe."
TOR_142,Jimmy’s Coffee,food,true,Citywide,streetcar,low,1,solo,"Local coffee chain","Great quick stop","Jimmy’s Coffee is a popular Toronto cafe."
TOR_143,Neo Coffee Bar,food,true,Downtown,streetcar,medium,1,date,"Japanese desserts","Try matcha","Neo Coffee Bar offers desserts and coffee."
TOR_144,Rooster Coffee House,food,true,East End,streetcar,low,1,solo,"Coffee with views","Try espresso","Rooster Coffee House has skyline views."
TOR_145,Boxcar Social,food,true,Downtown,streetcar,medium,1,date,"Coffee and wine","Visit evening","Boxcar Social serves coffee and wine."
TOR_146,Dineen Coffee Co,food,true,Downtown,streetcar,medium,1,date,"Historic cafe","Great brunch","Dineen Coffee Co is a stylish cafe."
TOR_147,Page One Cafe,food,true,Downtown,streetcar,low,1,solo,"Study cafe","Quiet workspace","Page One Cafe is great for studying."
TOR_148,Snakes & Lattes,entertainment,true,Downtown,streetcar,medium,2,friends,"Board games cafe","Reserve table","Snakes & Lattes offers board games and food."
TOR_149,FreePlay Arcade Bar,nightlife,true,Downtown,streetcar,medium,2,friends,"Retro arcade","Try classic games","FreePlay Arcade Bar offers games and drinks."
TOR_150,Storm Crow Manor Boardgames,entertainment,true,Downtown,streetcar,medium,2,friends,"Boardgames dining","Reserve ahead","Storm Crow offers themed boardgame dining."
TOR_151,The Danforth,neighborhood,false,East End,subway,low,2,friends,"Greek restaurants, nightlife","Visit evening","The Danforth is a lively neighborhood known for Greek food and nightlife."
TOR_152,Danforth Music Hall,entertainment,true,East End,subway,medium,2,friends,"Concert venue","Check show calendar","Danforth Music Hall hosts concerts and performances."
TOR_153,The Fox Theatre,entertainment,true,East End,subway,low,2,date,"Vintage cinema","Great date night","The Fox Theatre is a historic movie theater."
TOR_154,Beaches Jazz Festival,festival,false,East End,streetcar,low,3,friends,"Live jazz, street festival","Check summer dates","Beaches Jazz Festival features outdoor concerts."
TOR_155,Woodbine Park,park,false,East End,streetcar,low,2,family,"Green space, events","Bring picnic","Woodbine Park is a large park near the beach."
TOR_156,Ashbridges Bay Park,park,false,East End,streetcar,low,2,date,"Lake views, trails","Great sunset","Ashbridges Bay Park offers waterfront trails."
TOR_157,Leslie Street Spit,park,false,East End,bike,low,3,solo,"Bird watching, cycling","Bring water","Leslie Street Spit is a nature trail peninsula."
TOR_158,Don Valley Trails,park,false,Citywide,bike,low,3,solo,"Cycling trails","Bring bike","Don Valley Trails offer scenic cycling routes."
TOR_159,Beltline Trail,park,false,Midtown,bike,low,2,solo,"Urban hiking","Great fall walk","Beltline Trail is a popular urban hiking route."
TOR_160,Mount Pleasant Cemetery,park,false,Midtown,subway,low,1.5,solo,"Historic cemetery","Peaceful walk","Mount Pleasant Cemetery offers quiet walking paths."
TOR_161,Toronto Music Garden,park,false,Harbourfront,streetcar,low,1,date,"Garden, concerts","Visit summer concerts","Toronto Music Garden hosts free concerts."
TOR_162,Sugar Factory Candy Store,shopping,true,Downtown,streetcar,medium,1,family,"Candy shop","Fun for kids","Sugar Factory is a colorful candy store."
TOR_163,Blue Banana Market,shopping,true,Kensington,streetcar,low,1,friends,"Local gifts","Browse souvenirs","Blue Banana sells local gifts."
TOR_164,Spacing Store,shopping,true,Downtown,streetcar,low,1,solo,"Toronto themed gifts","Great souvenirs","Spacing Store offers Toronto themed merchandise."
TOR_165,Toronto Eaton Centre Bridge,landmark,true,Downtown,subway,low,0.5,solo,"Glass bridge","Quick photo stop","The Eaton Centre bridge is a popular photo spot."
TOR_166,Toronto Railway Museum,museum,true,Downtown,streetcar,low,1,family,"Historic trains","Good for kids","Toronto Railway Museum showcases train history."
TOR_167,The Power Plant Gallery,museum,true,Harbourfront,streetcar,low,1,solo,"Contemporary art","Free entry","The Power Plant is a free contemporary art gallery."
TOR_168,MOCA Toronto,museum,true,West End,subway,medium,2,solo,"Modern art","Check exhibits","MOCA Toronto features contemporary exhibitions."
TOR_169,The Bentway,park,false,Downtown,streetcar,low,1,date,"Under highway park","Winter skating","The Bentway hosts events and skating."
TOR_170,Underpass Park,park,false,Downtown,streetcar,low,1,family,"Playground","Great for kids","Underpass Park is an urban playground."
TOR_171,Downsview Park,park,false,North,bus,low,2,family,"Large park","Bring picnic","Downsview Park offers open green spaces."
TOR_172,Earl Bales Park,park,false,North York,bus,low,2,family,"Winter skiing","Visit winter","Earl Bales Park offers ski hills."
TOR_173,Centennial Park,park,false,Etobicoke,bus,low,2,family,"Sports fields","Family friendly","Centennial Park offers sports and picnic areas."
TOR_174,Colonel Samuel Smith Park,park,false,Etobicoke,bus,low,2,date,"Waterfront views","Bird watching","Colonel Samuel Smith Park offers lakeside trails."
TOR_175,Humber River Trail,park,false,Etobicoke,bike,low,3,solo,"Cycling trail","Bring bike","Humber River Trail is great for cycling."
TOR_176,Black Creek Trail,park,false,North,bike,low,3,solo,"Nature trail","Bring water","Black Creek Trail is ideal for cycling."
TOR_177,Don Mills Trail,park,false,North,bike,low,3,solo,"Cycling route","Wear helmet","Don Mills Trail offers scenic cycling."
TOR_178,Kay Gardner Beltline,park,false,Midtown,bike,low,2,solo,"Historic rail trail","Good fall walk","Kay Gardner Beltline is a historic trail."
